question_id,answer_category,issue_type,semantic_entropy,flip_rate,expected_verdict,majority_verdict,answer_type_ner,n_correct,n_incorrect,n_unsure,question,answer,ground_truth,context_preview,majority_rationale
bt_3620,correct,both,0.5004024235381879,0.2,CORRECT,INCORRECT,ORG,0,24,6,What is animelles the culinary term for,Testicles,Testicles,"The sheep (Ovis aries) is a quadrupedal, ruminant mammal typically kept as livestock. Like all ruminants, sheep are members of the order Artiodactyla, the even-toed ungulates. Although the name ""sheep"" applies to many species in the genus Ovis, in everyday usage it almost always refers to Ovis aries","The context does not mention the culinary term 'animelles' or its meaning, which leads to the conclusion that the answer is not supported by the provided information."
wh_3424,correct,both,0.5004024235381879,0.2,CORRECT,INCORRECT,OTHER,6,24,0,Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,FUNNY GIRL,"Musical theatre is a form of theatrical performance that combines songs, spoken dialogue, acting, and dance. The story and emotional content of a musical – humor, pathos, love, anger – are communicated through the words, music, movement and technical aspects of the entertainment as an integrated who","The provided context does not include any information about the song 'Second Hand Rose' or its association with the musical 'Funny Girl', making the answer unsupported."
qb_4301,correct,both,0.5004024235381879,0.2,CORRECT,UNSURE,OTHER,0,6,24,What is a female gerbil called?,Doe,Doe,"A gerbil is a small mammal of the order Rodentia. Once known simply as ""desert rats"", the gerbil subfamily includes about 110 species of African, Indian, and Asian rodents, including sand rats and jirds, all of which are adapted to arid habitats. Most are primarily diurnal   (though some, including ","The context does not provide information about the specific term used to refer to a female gerbil, so it is unclear whether 'doe' is the correct term."
wh_817,correct,both,0.45056120886630463,0.16666666666666666,CORRECT,INCORRECT,ORG,5,25,0,Who is the Greek God of War?,ARES,ARES,"Greek mythology is the body of myths and teachings that belong to the ancient Greeks, concerning their gods and heroes, the nature of the world, and the origins and significance of their own cult and ritual practices. It was a part of the religion in ancient Greece. Modern scholars refer to and stud","The context does not explicitly mention Ares as the Greek God of War, nor does it provide any information about him. Therefore, the answer cannot be confirmed as correct."
sfq_17874,correct,both,0.45056120886630463,0.16666666666666666,CORRECT,INCORRECT,OTHER,5,25,0,The Alfred Hitchcock films Rebecca and The Birds were based on novels by which author?,DAPHNE DU MAURIER,DAPHNE DU MAURIER,"Sir Alfred Joseph Hitchcock, KBE, (13 August 1899 – 29 April 1980) was an English film director and producer, at times referred to as ""The Master of Suspense"". He pioneered many elements of the suspense and psychological thriller genres. He had a successful career in British cinema with both silent ","The provided context does not include any information about the author of the novels that served as the basis for the films Rebecca and The Birds, making it impossible to confirm the correctness of the answer."
tb_2199,correct,both,0.39267446722755217,0.13333333333333333,CORRECT,UNSURE,ORG,4,0,26,"""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""",Chicago Cubs,Chicago Cubs,"The following is a franchise history of the Chicago Cubs of Major League Baseball, a charter member of the National League who started play in the National Association in 1870 as the Chicago White Stockings. The Chicago National League Ball Club is the only franchise to play continuously in the same","The context does not provide any information about Jack Brickhouse or his association with any team, including the Chicago Cubs."
odql_872,correct,both,0.3250829733914482,0.1,CORRECT,UNSURE,ORG,0,3,27,Scone Castle shares its grounds with which racecourse?,PERTH,PERTH,"A scone is a single-serving quick bread. They are usually made of wheat, barley or oatmeal, with baking powder as a leavening agent, and are baked on sheet pans. They are often lightly sweetened and are occasionally glazed with egg wash.  The scone is a basic component of the cream tea or Devonshire","The context does not provide any information regarding Scone Castle or its association with a racecourse, making it impossible to determine the correctness of the answer."
qw_8467,correct,both,0.24493002679463532,0.06666666666666667,CORRECT,UNSURE,PERSON,0,2,28,What should you cross for good luck?,Fingers,Fingers,"Superstitions - Myths - Legends - Folklore - Omens - Lucks - Sayings Superstitions – Myths – Legends – Folklore – Omens – Lucks – Sayings Sunday, May 27th, 2012 at 2:45 am There are superstitions for almost all aspects of our daily lives and most have unknown origins. Sometimes they are logical (for","While crossing fingers is a common superstition associated with good luck, the provided context does not confirm or deny this specific belief, leaving the answer uncertain."
jp_4376,correct,both,0.24493002679463532,0.06666666666666667,CORRECT,UNSURE,ORG,0,2,28,What slippery synthetic substance was Ronald Reagan compared to - because no scandals stuck to him?,Teflon,Teflon,"Ronald Wilson Reagan (; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th President of the United States from 1981 to 1989. Prior to his presidency, he was the 33rd Governor of California from 1967 to 1975, following a career as a Hollywood actor and union ","The context does not mention any comparison of Ronald Reagan to Teflon or any other slippery synthetic substance, nor does it discuss scandals in relation to him. Therefore, it is unclear if the answer is correct."
dpql_5290,correct,both,0.24493002679463532,0.06666666666666667,CORRECT,INCORRECT,PERSON,0,28,2,"Which ethical cosmetics company opened its first store in Poole, Dorset in 1994?",Lush,Lush,"Poole is a large coastal town and seaport in the county of Dorset, on the south coast of England. The town is 33 km east of Dorchester, and adjoins Bournemouth to the east. The local council is Borough of Poole and was made a unitary authority in 1997, gaining administrative independence from Dorset","The provided context does not contain any information regarding Lush or its store openings, making the answer unsupported."
wh_3446,correct,both,0.24493002679463532,0.06666666666666667,CORRECT,INCORRECT,ORG,2,28,0,In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,THE EAR,"A bone is a rigid organ that constitutes part of the vertebral skeleton. Bones support and protect the various organs of the body, produce red and white blood cells, store minerals and also enable mobility as well as support for the body. Bone tissue is a type of dense connective tissue. Bones come ","The context mentions the stapes as the smallest bone in the middle ear, but does not specifically mention the malleus or hammer bone, which is also located in the ear. Therefore, while the answer is partially correct, it lacks specific support from the context."
sfq_22467,confusing_wrong,both,0.24493002679463532,0.06666666666666667,INCORRECT,UNSURE,DATE,0,2,28,In which decade was the English League Cup first contested?,1970's,1960's,"Decade by decade - FC Barcelona
FC BARCELONA
1978-1988. More members, more stars
Dream signings arrive in the form of players like Maradona, Schuster, Julio Alberto and Quini as the first lucrative television contracts are signed. The Club continues to grow with the extension of Camp Nou and the lan","The context provided does not mention the English League Cup or its inception, making it impossible to determine the correctness of the answer."
qb_8477,correct,both,0.24493002679463532,0.06666666666666667,CORRECT,INCORRECT,OTHER,0,28,2,‘Boat Race’ is Cockney rhyming slang for which part of the body?,Face,Face,"The Boat Race is a set of annual rowing races between the Oxford University Boat Club and the Cambridge University Boat Club, rowed between eights on the River Thames in London, England. It is also known as the University Boat Race and the Oxford and Cambridge Boat Race, or by a title that includes ","The provided context focuses solely on the details and history of the Boat Race between Oxford and Cambridge, with no reference to Cockney rhyming slang or its meanings."
bt_3162,correct,both,0.1461447460085638,0.03333333333333333,CORRECT,UNSURE,ORG,0,1,29,Which British submarine sank the General Belgrano in the Falklands War,HMS Conqueror,HMS Conqueror,"The Falklands War (), also known as the Falklands Conflict, Falklands Crisis, and the Guerra del Atlántico Sur (Spanish for ""South Atlantic War""), was a ten-week war between Argentina and the United Kingdom over two British overseas territories in the South Atlantic: the Falkland Islands and South G","The context does not provide specific information about the British submarine that sank the General Belgrano, so it is unclear whether the answer is correct."
bb_7936,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,"Which Bond villain has been played by Telly Savalas, Donald Pleasance, Charles Gray, and Max Von Sydow?",BLOFELD,BLOFELD,"The James Bond series focuses on a fictional British Secret Service agent created in 1953 by writer Ian Fleming, who featured him in twelve novels and two short-story collections. Since Fleming's death in 1964, eight other authors have written authorised Bond novels or novelizations: Kingsley Amis, ","The context does not provide any information about the specific actors who played the character Blofeld, nor does it confirm that these actors portrayed that specific villain."
bb_7860,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,Which river forms the eastern section of the border between England and Scotland?,TWEED,TWEED,"Scotland (; Scots:; ) is a country that is part of the United Kingdom and covers the northern third of the island of Great Britain. It shares a border with England to the south, and is otherwise surrounded by the Atlantic Ocean, with the North Sea to the east and the North Channel and Irish Sea to t","The context mentions that Scotland shares a border with England but does not specify which river forms the eastern section of that border, making the answer unsupported."
bb_593,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,OTHER,0,30,0,What is the collective term for a group of Morris dancers?,Side,Side,"Time is the indefinite continued progress of existence and events that occur in apparently irreversible succession from the past through the present to the future. Time is a component quantity of various measurements used to sequence events, to compare the duration of events or the intervals between","The context passage does not mention Morris dancers or the term 'side' as a collective term for them, making the answer unsupported."
bb_5849,correct,mismatch_only,-0.0,0.0,CORRECT,UNSURE,OTHER,0,0,30,"Thailand's currency, the 10th most used globally (at 2015) is the?",Baht,Baht,"Thailand ( or ; , );, officially the Kingdom of Thailand (, ;), formerly known as Siam (; ), is a country at the centre of the Indochinese peninsula. It is bordered to the north by Myanmar and Laos, to the east by Laos and Cambodia, to the south by the Gulf of Thailand and Malaysia, and to the west ","The context does not provide any information regarding Thailand's currency or its global ranking in usage, making it impossible to determine the correctness of the answer."
bb_5529,correct,mismatch_only,-0.0,0.0,CORRECT,UNSURE,PERSON,0,0,30,American businessman and philanthropist Solomon Guggenheim (1861-1949) established a famous eponymous international network of?,Museums,Museums,"Philanthropy (from Greek ) means etymologically, the love of humanity, in the sense of caring, nourishing, developing, and enhancing what it means to be human. In this meaning, it involves both the benefactor in their identifying and exercising their values, and the beneficiary in their receipt and ","The context does not provide any information about Solomon Guggenheim or his contributions, including whether he established a network of museums."
bb_4655,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,The particle physics unit of reactionary particle decay is?,Strangeness,Strangeness,PHYS UNIT 4: PARTICLE PHYSICS - Revision Cards in A Level and IB Physics Home > A Level and IB > Physics > PHYS UNIT 4: PARTICLE PHYSICS PHYS UNIT 4: PARTICLE PHYSICS NUCLEAR MODEL The Thomson model – 19th century Atom was a positively charged globule w/ negatively charged electrons sprinkled in it ,"The context discusses baryon number as a property conserved in particle reactions, but does not mention strangeness as a unit of reactionary particle decay."
bb_3592,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,The word apostle is derived from Greek 'apostolos' meaning?,Messenger,Messenger,"Apostle Definition and Meaning - Bible Dictionary APOSTLE a-pos'-l ([ @apostolos], literally, ""one sent forth,"" an envoy, missionary): For the meaning of this name as it meets us in the New Testament, reference is sometimes made to classical and Jewish parallels. In earlier classical Greek there was","The answer incorrectly simplifies the meaning of 'apostolos' to just 'messenger,' while the context specifies that it means 'one sent forth,' which implies a broader role as an envoy or missionary."
qb_1652,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,"Which British monarch founded the Yeomen of the Guard, originally as a royal bodyguard?",Henry VII,Henry VII,"Victoria (Alexandrina Victoria; 24 May 1819 – 22 January 1901) was Queen of the United Kingdom of Great Britain and Ireland from 20 June 1837 until her death. From 1 May 1876, she had the additional title of Empress of India. Victoria was the daughter of Prince Edward, Duke of Kent and Strathearn, t","The provided context focuses solely on Queen Victoria and her life, with no reference to Henry VII or the Yeomen of the Guard, making the answer unsupported."
odql_8433,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,The 'Colossus of Rhodes' was a bronze statue of who?,APOLLO,APOLLO,"The Colossus of Rhodes ()Kolossos means ""giant statue"". R. S. P. Beekes has suggested a Pre-Greek proto-form *koloky- (Etymological Dictionary of Greek, Brill, 2009, p. 740). was a statue of the Greek titan-god of the sun Helios, erected in the city of Rhodes, on the Greek island of the same name, b","The context clearly states that the Colossus of Rhodes was a statue of Helios, not Apollo."
odql_761,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,Who became the second Astronomer Royal upon the death of John Flamstead in 1619?,EDMOND HALLEY,EDMOND HALLEY,"Edmond (or Edmund ) Halley, FRS (pronounced; 8 November 1656 – 14 January 1742) was an English astronomer, geophysicist, mathematician, meteorologist, and physicist who is best known for computing the orbit of the eponymous Halley's Comet. He was the second Astronomer Royal in Britain, succeeding Jo","The context states that Edmond Halley succeeded John Flamsteed as the second Astronomer Royal, but Flamsteed died in 1719, not 1619."
odql_5818,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,What was Roy Castle’s only Carry On film?,Carry On Up The Khyber,Carry On Up The Khyber,"The Carry On franchise primarily consists of a sequence of 31 low-budget British comedy motion pictures (1958–92), four Christmas specials, a television series of thirteen episodes, and three West End and provincial stage plays. The films' humour was in the British comic tradition of the music hall ","The context does not mention Roy Castle or any specific film he was involved in, including 'Carry On Up The Khyber'. Therefore, the answer cannot be confirmed as correct."
odql_14578,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,"'Baby Come Back' was a number one hit in 1968 for which group, founded by Eddy Grant?",'THE EQUALS','THE EQUALS',"A musical ensemble, also known as a music group, is a group of people who perform instrumental and/or vocal music, with the ensemble typically known by a distinct name. Some music ensembles consist solely of instruments, such as the jazz quartet or the orchestra. Some music ensembles consist solely ","The provided context does not contain any information regarding the song 'Baby Come Back', the group 'The Equals', or Eddy Grant, making the answer unsupported."
odql_12607,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,"Prince Rupert of the Rhine, who fought in the Thirty Years’ War, was nephew of which English King, who made him Duke of Cumberland?",CHARLES I,CHARLES I,"The Thirty Years' War was a series of wars in Central Europe between 1618 and 1648. It was one of the longest and most destructive conflicts in European history, resulting in millions of casualties. Initially a war between various Protestant and Catholic states in the fragmented Holy Roman Empire, i","The provided context does not contain any information about Prince Rupert of the Rhine or his familial connections, making it impossible to confirm the answer as correct."
odql_10060,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,OTHER,0,30,0,“Poor old Johnny Ray” is the opening line of which number one hit?,COME ON EILEEN,COME ON EILEEN,"John Alvin ""Johnnie"" Ray (January 10, 1927 – February 24, 1990) was an American singer, songwriter, and pianist. Extremely popular for most of the 1950s, Ray has been cited by critics as a major precursor of what would become rock and roll, for his jazz and blues-influenced music and his animated st","The context states that Johnnie Ray had a number one hit with 'Just Walkin' in the Rain,' not 'Come On Eileen.'"
odql_14247,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,DATE,0,30,0,In which year of the nineteenth century was the most notable eruption of Krakatoa,1883,1883,"The 19th century (1 January 1801 – 31 December 1900) was the century marked by the collapse of the Spanish, Napoleonic, Holy Roman and Mughal empires. This paved the way for the growing influence of the British Empire, the Russian Empire, the United States, the German Empire, the French colonial emp","The provided context does not include any information about the eruption of Krakatoa, which occurred in 1883, making the answer unsupported."
jp_2283,obvious_wrong,mismatch_only,-0.0,0.0,INCORRECT,CORRECT,ORG,30,0,0,What is VIII plus XXIV?,45,XXXII,"Super Bowl XXIV was an American football game between the National Football Conference (NFC) champion San Francisco 49ers and the American Football Conference (AFC) champion Denver Broncos to decide the National Football League (NFL) champion for the 1989 season. Played on January 28, 1990, at the L","The answer is mathematically accurate as VIII (8) plus XXIV (24) equals 32, which is not the answer provided. Therefore, the answer is incorrect."
qw_10130,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,"""""""M"""", """"Luscious Pink"""" and """"Forever"""" are women's fragrances from Elizabeth Arden, endorsed by whom?""",Mariah Carey,Mariah Carey,"Luscious Pink is a women's fragrance from Elizabeth Arden, and is the second fragrance to be endorsed by Mariah Carey.

The fragrance was released in August 2008.

Its notes are: Ocean Breeze accord, bergamot, Tahitian Tiare, white musk, pink peony, creamy sandalwood, bright blond woods, sparkling B","The context only confirms that 'Luscious Pink' is endorsed by Mariah Carey, but does not provide information about the endorsements for 'M' and 'Forever'."
qg_1199,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,"Which Major League Baseball team plays its home games at Chase Field, built in 1992?",Arizona Diamondbacks,Arizona Diamondbacks,"Chase Field is a baseball park located in Downtown Phoenix, Arizona. It is the home of the Arizona Diamondbacks, the city's Major League Baseball (MLB) franchise. It opened  in 1998, in time for the Diamondbacks' first game as an expansion team.  Chase Field was the first stadium built in the United","The answer is incorrect because Chase Field opened in 1998, not 1992, as stated in the question."
qf_506,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,"""Who duetted with Bryan Adams on the 1985 hit """"It's Only Love""""?""",Tina Turner,Tina Turner,"The Who are an English rock band that formed in 1964. Their classic line-up consisted of lead singer Roger Daltrey, guitarist Pete Townshend, bass guitarist John Entwistle, and drummer Keith Moon. They are considered one of the most influential rock bands of the 20th century, selling over 100 millio",The provided context focuses solely on the history and achievements of The Who and does not provide any information about Bryan Adams or his collaborations.
qf_3619,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,OTHER,0,30,0,What was Billy Connolly's only No. 1 hit?,D-I-V-O-R-C-E,D-I-V-O-R-C-E,"William ""Billy"" Connolly, (born 24 November 1942) is a Scottish comedian, musician, presenter and actor. He is sometimes known, especially in his native Scotland, by the nickname ""The Big Yin"" (""The Big One""). His first trade, in the early 1960s, was as a welder (specifically a boilermaker) in the G","The provided context does not include any information about Billy Connolly's music hits or chart performance, making the answer unsupported."
qf_1647,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,Who played Dr Richard Kimble in the 1993 film The Fugitive?,Harrison Ford,Harrison Ford,"The Fugitive is an American drama series created by Roy Huggins. It was produced by QM Productions and United Artists Television. It aired on ABC from 1963 to 1967. David Janssen stars as Richard Kimble, a physician who is falsely convicted of his wife's murder and sentenced to receive the death pen","The context specifies that David Janssen played Dr. Richard Kimble in the original series, and it does not mention Harrison Ford, indicating that the answer is incorrect."
qf_2335,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,"""Heinz' 1963 song """"Just Like Eddie"""" was a tribute to whom?""",Eddie Cochrane,Eddie Cochrane,"""Just Like Eddie"" is a song by recording artist Heinz. The song was his 2nd solo release after leaving the band The Tornados. 

Background

The song was a tribute to American rock 'n' roll pioneer Eddie Cochran.  The song was produced and engineered by Joe Meek and was released via the record label ",The answer incorrectly spells Eddie Cochran's name as 'Cochrane'; the correct spelling is 'Cochran' as stated in the context.
qb_3703,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,"In the novel ‘Watership Down’, Yona is what type of creature?",Hedgehog,Hedgehog,"Watership Down / Characters - TV Tropes Shrouded in Myth : Hazel-rah. Take a Third Option : Several times. In fact, one of the main reasons why he makes such a good leader is his willingness to think outside the box and try new solutions. The Men First : If the group as a whole can't escape he'll re","The provided context does not include any information about a character named Yona or indicate that Yona is a hedgehog, making the answer unsupported."
qb_3614,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,Tewkesbury Mustard is mentioned in which Shakespeare play?,Henry IV,Henry IV,"William Shakespeare (; 26 April 1564 (baptised) – 23 April 1616) was an English :poet, :playwright, and actor, widely regarded as the greatest writer in the English language and the world's pre-eminent dramatist.; ; . He is often called England's national poet, and the ""Bard of Avon"". His extant wor","The provided context does not include any information about Tewkesbury Mustard or its mention in any of Shakespeare's plays, including Henry IV."
qb_1253,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,Al Capone,"Alphonse Gabriel ""Al"" Capone (; January 17, 1899 – January 25, 1947) was an American gangster who attained fame during the Prohibition era as the co-founder and boss of the Chicago Outfit. His seven-year reign as crime boss ended when he was 33 years old. Capone was born in the borough of Brooklyn i","The context states that Capone was sentenced to 11 years in federal prison and was released after eight years, but it does not mention Alcatraz or a release in November 1939."
qb_3065,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,What is the International Vehicle Registration for Cambodia?,K,K,The Democratic People's Republic of Korea national football team (recognized as Korea DPR by FIFA and known colloquially and in the media as North Korea ) represents the Democratic People's Republic of Korea in international association football and is controlled by the DPR Korea Football Associatio,The context passage is solely focused on the Democratic People's Republic of Korea national football team and does not mention Cambodia or its vehicle registration code.
sfq_1303,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,PERSON,0,30,0,Name the Archbishop of Canterbury who was burnt at the stake in 1556?,Thomas Cranmer,Thomas Cranmer,"Deliberately causing death through the effects of combustion, or effects of exposure to extreme heat, has a long history as a form of capital punishment. Many societies have employed it as an execution method for activities considered criminal such as treason, rebellious actions by slaves, heresy, w",The provided context discusses various historical instances of capital punishment by burning but does not include any specific mention of Thomas Cranmer or his execution.
sfq_13492,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,OTHER,0,30,0,Which popular newsreader resigned from ITN in 1979?,REGINALD BOSANQUET,REGINALD BOSANQUET,"Independent Television News (ITN) is a British-based news and content provider. It is made up of three divisions: ITN News, ITN Source and ITN Productions. ITN is based in London, with bureaux and offices in Beijing, Brussels, Jerusalem, Johannesburg, New York, Paris, Sydney and Washington DC. ITN p",The context does not mention Reginald Bosanquet resigning from ITN in 1979; it only states that he was part of the newscaster team when News at Ten began in 1967.
sfq_14106,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,What was the name of the meeting held in July 1945 to discuss punishment of Nazi Germany?,Potsdam Conference,Potsdam Conference,"Nazi Germany, also known as the Third Reich (), was a period in German history from 1933 to 1945, when the country was governed by a dictatorship under the control of Adolf Hitler and the Nazi Party (NSDAP). Under Hitler's rule, Germany was transformed into a fascist totalitarian state which control","The provided context does not include any information about the Potsdam Conference or its purpose, making the answer unsupported."
qz_3833,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,LOCATION,0,30,0,Bonar Law is the only Prime Minister not born in the UK. In which country was he born?,Canada,Canada,"Andrew Bonar Law (16 September 1858 – 30 October 1923), commonly called Bonar Law (,), was a British Conservative Party statesman and Prime Minister. Born in the colony of New Brunswick (now in Canada), he is the only British Prime Minister to have been born outside the British Isles. Law was of Sco","The context states that Bonar Law was born in New Brunswick, which was a separate colony at the time and not considered part of Canada until 1867. Therefore, it is incorrect to say he was born in Canada."
qw_6504,correct,mismatch_only,-0.0,0.0,CORRECT,INCORRECT,ORG,0,30,0,What is the name of the tool used to sharpen a knife?,Steel,Steel,"A Guide to Tool Sharpening Basics - Do-It-Yourself - MOTHER EARTH NEWS Video A Guide to Tool Sharpening Basics A guide to tool sharpening basics. This vital set of sharpening skills includes proper methods of sharpening, rough work with a file, sharpening a shovel, hoe, spade, knife and tool sharpen",The passage discusses various tools and methods for sharpening but does not specifically identify 'steel' as the tool for sharpening a knife.
