question_id,answer_category,issue_type,semantic_entropy,flip_rate,majority_verdict,expected_verdict,answer_type_ner,n_correct,n_incorrect,n_unsure,question,answer,ground_truth,context_preview,rationale_CORRECT,rationale_INCORRECT,rationale_UNSURE
sfq_23895,correct,both,0.6365141682948128,0.3333333333333333,UNSURE,CORRECT,ORG,0,10,20,"What name was collectively given to the sons of Poseidon, who dwelt with him at the bottom of the sea?",Tritons,Tritons,"Poseidon (; Greek: ,) was one of the twelve Olympian deities of the pantheon in Greek mythology. His main domain was the ocean, and he is called the ""God of the Sea"". Additionally, he is referred to as ""Earth-Shaker"" due to his role in causing earthquakes, and has been called the ""tamer of horses"". ",,"The provided context does not include any information about the sons of Poseidon or refer to them as Tritons, making the answer unsupported.","The context passage does not mention Tritons or any other specific name for the sons of Poseidon, leaving the answer uncertain."
qw_66,correct,both,0.6108643020548935,0.3,INCORRECT,CORRECT,LOCATION,0,21,9,"What is the name of the international cricket ground in Brisbane, Australia?",The Gabba,The Gabba,"Brisbane is the capital and most populous city in the Australian state of Queensland, and the third most populous city in Australia. Brisbane's metropolitan area has a population of 2.3 million, ERP at 30 June 2014. and the South East Queensland urban conurbation, centred on Brisbane, encompasses a ",,"The provided context does not include any information about the Gabba or any cricket grounds in Brisbane, making the answer unsupported.","The context does not provide any information about the name of the international cricket ground in Brisbane, Australia."
dpql_2596,correct,both,0.6108643020548935,0.3,INCORRECT,CORRECT,LOCATION,0,21,9,Which English town/city did the Romans call Dubris?,Dover,Dover,"Roman Britain ( or, later, ', ""the Britains"") was the area of the island of Great Britain that was governed by the Roman Empire, from 43 to 410. Julius Caesar invaded Britain in 55 and 54 as part of his Gallic Wars. The Britons had been overrun or culturally assimilated by other Celtic tribes during",,The provided context does not include any information about the Roman name Dubris or its connection to the town of Dover.,"The context does not provide any information regarding the Roman name 'Dubris' or its association with any specific English town or city, including Dover."
jp_165,confusing_wrong,unstable_only,0.5799151714181009,0.26666666666666666,INCORRECT,INCORRECT,ORG,0,22,8,What would you find on Carmen Miranda's hat?,RED,Fruit,"Carmen Miranda, GCIH • OMC (, February 9, 1909 – August 5, 1955) was a Luso-Brazilian samba singer, dancer, Broadway actress, and film star who was popular from the 1930s to the 1950s. Miranda became a popular radio and film star in Brazil in the late 1920s. Her first albums soon made her a national",,"The context mentions Carmen Miranda's signature fruit hat outfit but does not specify the color of the fruits or hat, making the answer 'RED' unsupported.","The context mentions Carmen Miranda's signature fruit hat outfit but does not specify the colors or details of the hat, making it unclear whether red would be found on her hat."
qb_4301,correct,both,0.5004024235381879,0.2,UNSURE,CORRECT,OTHER,0,6,24,What is a female gerbil called?,Doe,Doe,"A gerbil is a small mammal of the order Rodentia. Once known simply as ""desert rats"", the gerbil subfamily includes about 110 species of African, Indian, and Asian rodents, including sand rats and jirds, all of which are adapted to arid habitats. Most are primarily diurnal   (though some, including ",,"The context passage does not mention what a female gerbil is called, making the answer unsupported.","The context does not provide information about the specific term used to refer to a female gerbil, so it is unclear whether 'doe' is the correct term."
bt_3620,correct,both,0.5004024235381879,0.2,INCORRECT,CORRECT,ORG,0,24,6,What is animelles the culinary term for,Testicles,Testicles,"The sheep (Ovis aries) is a quadrupedal, ruminant mammal typically kept as livestock. Like all ruminants, sheep are members of the order Artiodactyla, the even-toed ungulates. Although the name ""sheep"" applies to many species in the genus Ovis, in everyday usage it almost always refers to Ovis aries",,"The context does not mention the culinary term 'animelles' or its meaning, which leads to the conclusion that the answer is not supported by the provided information.","The context provided does not mention the culinary term 'animelles' or its meaning, leaving insufficient information to determine the correctness of the answer."
wh_3424,correct,both,0.5004024235381879,0.2,INCORRECT,CORRECT,OTHER,6,24,0,Which musical features the song 'Second Hand Rose'?,FUNNY GIRL,FUNNY GIRL,"Musical theatre is a form of theatrical performance that combines songs, spoken dialogue, acting, and dance. The story and emotional content of a musical – humor, pathos, love, anger – are communicated through the words, music, movement and technical aspects of the entertainment as an integrated who","While the context does not provide specific information about the song 'Second Hand Rose' or the musical 'Funny Girl', it is a well-known fact that 'Second Hand Rose' is featured in 'Funny Girl'. Therefore, the answer is correct based on external knowledge.","The provided context does not include any information about the song 'Second Hand Rose' or its association with the musical 'Funny Girl', making the answer unsupported.",
sfq_22144,correct,unstable_only,0.45056120886630463,0.16666666666666666,CORRECT,CORRECT,PERSON,25,5,0,Who wrote the opera A Masked Ball?,Giuseppe Verdi,Giuseppe Verdi,"Opera (; English plural: operas; Italian plural: opere) is an art form in which singers and musicians perform a dramatic work combining text (libretto) and musical score, usually in a theatrical setting. In traditional opera, singers do two types of singing: recitative, a speech-inflected style and ","The context mentions Giuseppe Verdi as a significant figure in Italian opera, and while it does not explicitly state that he wrote A Masked Ball, it is widely known that he is the composer of that opera, thus supporting the correctness of the answer.","The context does not mention Giuseppe Verdi as the composer of A Masked Ball, and instead focuses on other composers and their contributions to opera. Therefore, the answer is not supported.",
wh_817,correct,both,0.45056120886630463,0.16666666666666666,INCORRECT,CORRECT,ORG,5,25,0,Who is the Greek God of War?,ARES,ARES,"Greek mythology is the body of myths and teachings that belong to the ancient Greeks, concerning their gods and heroes, the nature of the world, and the origins and significance of their own cult and ritual practices. It was a part of the religion in ancient Greece. Modern scholars refer to and stud","The context discusses various gods in Greek mythology, and Ares is widely recognized as the Greek God of War, which aligns with the information provided.","The context does not explicitly mention Ares as the Greek God of War, nor does it provide any information about him. Therefore, the answer cannot be confirmed as correct.",
sfq_17874,correct,both,0.45056120886630463,0.16666666666666666,INCORRECT,CORRECT,OTHER,5,25,0,The Alfred Hitchcock films Rebecca and The Birds were based on novels by which author?,DAPHNE DU MAURIER,DAPHNE DU MAURIER,"Sir Alfred Joseph Hitchcock, KBE, (13 August 1899 – 29 April 1980) was an English film director and producer, at times referred to as ""The Master of Suspense"". He pioneered many elements of the suspense and psychological thriller genres. He had a successful career in British cinema with both silent ","The context does not explicitly mention Daphne du Maurier, but it is widely known that both 'Rebecca' and 'The Birds' are adaptations of her novels. Therefore, the answer is correct based on external knowledge.","The provided context does not include any information about the author of the novels that served as the basis for the films Rebecca and The Birds, making it impossible to confirm the correctness of the answer.",
tb_2199,correct,both,0.39267446722755217,0.13333333333333333,UNSURE,CORRECT,ORG,4,0,26,"""Sportscaster Jack Brickhouse who once said """"Any team can have a bad century"""" provided play-by-play coverage of what American major league team's games from 1948 to 1981?""",Chicago Cubs,Chicago Cubs,"The following is a franchise history of the Chicago Cubs of Major League Baseball, a charter member of the National League who started play in the National Association in 1870 as the Chicago White Stockings. The Chicago National League Ball Club is the only franchise to play continuously in the same","The context passage discusses the Chicago Cubs' franchise history, confirming that Jack Brickhouse provided coverage for this team.",,"The context does not provide any information about Jack Brickhouse or his association with any team, including the Chicago Cubs."
sfq_1201,correct,unstable_only,0.39267446722755217,0.13333333333333333,CORRECT,CORRECT,PERSON,26,4,0,Hannibal Hayes and Kid Curry were the central characters in which 1970s American TV series?,Alias Smith and Jones,Alias Smith and Jones,"Harvey Alexander Logan (1867 - June 17, 1904), also known as Kid Curry, was an American outlaw and gunman who rode with Butch Cassidy and the Sundance Kid's infamous Wild Bunch gang. Despite being less well known than his counterparts, he has since been referred to as ""the wildest of the Wild Bunch""","The context does not explicitly mention the TV series 'Alias Smith and Jones', but it is a well-known fact that the series was inspired by the characters of Butch Cassidy and the Sundance Kid, which includes Kid Curry as part of the Wild Bunch. Therefore, the answer is correct based on general knowledge.","The provided context focuses solely on Kid Curry's life and criminal activities, with no reference to the TV series or its characters.",
bb_7425,correct,unstable_only,0.3250829733914482,0.1,CORRECT,CORRECT,ORG,27,3,0,Which iconic British female singer made the highly regarded album titled '(her first name) in Memphis' ?,Dusty Springfield,Dusty Springfield,"Female solo singers rode British Invasion to U.S. success Pin It By Gillian G. Gaar The British Invasion introduced the likes of The Beatles, The Rolling Stones, The Animals, The Kinks and Gerry & The Pacemakers, among others, to American audiences. And where were the women? Well, they weren’t often","The context discusses Dusty Springfield's career and mentions her success, which supports the answer that she is the iconic British female singer associated with the album '(her first name) in Memphis'.","The provided context does not include any information about an album titled '(her first name) in Memphis,' making the answer unsupported.",
odql_872,correct,both,0.3250829733914482,0.1,UNSURE,CORRECT,ORG,0,3,27,Scone Castle shares its grounds with which racecourse?,PERTH,PERTH,"A scone is a single-serving quick bread. They are usually made of wheat, barley or oatmeal, with baking powder as a leavening agent, and are baked on sheet pans. They are often lightly sweetened and are occasionally glazed with egg wash.  The scone is a basic component of the cream tea or Devonshire",,"The provided context does not contain any information regarding Scone Castle or its association with a racecourse, making the answer unsupported.","The context does not provide any information regarding Scone Castle or its association with a racecourse, making it impossible to determine the correctness of the answer."
qb_8477,correct,both,0.24493002679463532,0.06666666666666667,INCORRECT,CORRECT,OTHER,0,28,2,‘Boat Race’ is Cockney rhyming slang for which part of the body?,Face,Face,"The Boat Race is a set of annual rowing races between the Oxford University Boat Club and the Cambridge University Boat Club, rowed between eights on the River Thames in London, England. It is also known as the University Boat Race and the Oxford and Cambridge Boat Race, or by a title that includes ",,"The provided context focuses solely on the details and history of the Boat Race between Oxford and Cambridge, with no reference to Cockney rhyming slang or its meanings.","The context provided does not mention Cockney rhyming slang or its association with the term 'Boat Race'. Therefore, it is unclear whether 'Boat Race' is indeed slang for 'face'."
jp_4376,correct,both,0.24493002679463532,0.06666666666666667,UNSURE,CORRECT,ORG,0,2,28,What slippery synthetic substance was Ronald Reagan compared to - because no scandals stuck to him?,Teflon,Teflon,"Ronald Wilson Reagan (; February 6, 1911 – June 5, 2004) was an American politician and actor who served as the 40th President of the United States from 1981 to 1989. Prior to his presidency, he was the 33rd Governor of California from 1967 to 1975, following a career as a Hollywood actor and union ",,"The provided context does not include any reference to Reagan being compared to Teflon or any similar substance, making the answer unsupported.","The context does not mention any comparison of Ronald Reagan to Teflon or any other slippery synthetic substance, nor does it discuss scandals in relation to him. Therefore, it is unclear if the answer is correct."
odql_13739,correct,unstable_only,0.24493002679463532,0.06666666666666667,CORRECT,CORRECT,OTHER,28,2,0,'The Birth Of Venus' is probably the most famous work of which Renaissance painter?,SANDRO BOTTICELLI,SANDRO BOTTICELLI,"The Renaissance (,) is a period in Europe, from the 14th to the 17th century, regarded as the cultural bridge between the Middle Ages and modern history. It started as a cultural movement in Italy in the Late Medieval period and later spread to the rest of Europe, marking the beginning of the Early ","While the context does not explicitly mention 'The Birth of Venus' or Sandro Botticelli, it is widely recognized in art history that Botticelli is the painter of this famous work, making the answer correct based on general knowledge of the Renaissance.","The context does not mention 'The Birth of Venus' or Sandro Botticelli, making it impossible to confirm the answer as correct.",
wh_3446,correct,both,0.24493002679463532,0.06666666666666667,INCORRECT,CORRECT,ORG,2,28,0,In which part of the human body can you find the Malleus or Hammer bone ?,THE EAR,THE EAR,"A bone is a rigid organ that constitutes part of the vertebral skeleton. Bones support and protect the various organs of the body, produce red and white blood cells, store minerals and also enable mobility as well as support for the body. Bone tissue is a type of dense connective tissue. Bones come ","The context mentions the stapes, which is one of the bones in the ear, indicating that the ear contains small bones, including the malleus (hammer bone).","The context mentions the stapes as the smallest bone in the middle ear, but does not specifically mention the malleus or hammer bone, which is also located in the ear. Therefore, while the answer is partially correct, it lacks specific support from the context.",
dpql_5290,correct,both,0.24493002679463532,0.06666666666666667,INCORRECT,CORRECT,PERSON,0,28,2,"Which ethical cosmetics company opened its first store in Poole, Dorset in 1994?",Lush,Lush,"Poole is a large coastal town and seaport in the county of Dorset, on the south coast of England. The town is 33 km east of Dorchester, and adjoins Bournemouth to the east. The local council is Borough of Poole and was made a unitary authority in 1997, gaining administrative independence from Dorset",,"The provided context does not contain any information regarding Lush or its store openings, making the answer unsupported.","The context does not provide any information regarding the opening of Lush or any other ethical cosmetics company in Poole, Dorset in 1994."
qw_8467,correct,both,0.24493002679463532,0.06666666666666667,UNSURE,CORRECT,PERSON,0,2,28,What should you cross for good luck?,Fingers,Fingers,"Superstitions - Myths - Legends - Folklore - Omens - Lucks - Sayings Superstitions – Myths – Legends – Folklore – Omens – Lucks – Sayings Sunday, May 27th, 2012 at 2:45 am There are superstitions for almost all aspects of our daily lives and most have unknown origins. Sometimes they are logical (for",,The provided context discusses various superstitions and beliefs but does not include crossing fingers as a method for good luck.,"While crossing fingers is a common superstition associated with good luck, the provided context does not confirm or deny this specific belief, leaving the answer uncertain."
qz_1384,confusing_wrong,unstable_only,0.24493002679463532,0.06666666666666667,INCORRECT,INCORRECT,OTHER,2,28,0,The Canary Islands are named after what animal?,Not Fair,Dog,"The Canary Islands (; ,), also known as the Canaries (), are an archipelago and autonomous community of Spain located just off the southern coast of Morocco, 100 km west of its southern border. The Canaries are among the outermost regions (OMR) of the European Union proper. It is also one of the eig","The context explicitly states that the name of the Canary Islands does not come from the canary bird, indicating that the islands are named after dogs, as suggested by the Latin name 'Canariae Insulae'.","The context explicitly states that the name of the Canary Islands does not come from the canary bird, indicating that the answer is incorrect.",
sfq_22467,confusing_wrong,both,0.24493002679463532,0.06666666666666667,UNSURE,INCORRECT,DATE,0,2,28,In which decade was the English League Cup first contested?,1970's,1960's,"Decade by decade - FC Barcelona
FC BARCELONA
1978-1988. More members, more stars
Dream signings arrive in the form of players like Maradona, Schuster, Julio Alberto and Quini as the first lucrative television contracts are signed. The Club continues to grow with the extension of Camp Nou and the lan",,The provided context focuses solely on the history of FC Barcelona and does not provide any information regarding the English League Cup or its first contesting decade.,"The context provided does not mention the English League Cup or its inception, making it impossible to determine the correctness of the answer."
bt_3162,correct,both,0.1461447460085638,0.03333333333333333,UNSURE,CORRECT,ORG,0,1,29,Which British submarine sank the General Belgrano in the Falklands War,HMS Conqueror,HMS Conqueror,"The Falklands War (), also known as the Falklands Conflict, Falklands Crisis, and the Guerra del Atlántico Sur (Spanish for ""South Atlantic War""), was a ten-week war between Argentina and the United Kingdom over two British overseas territories in the South Atlantic: the Falkland Islands and South G",,"The provided context does not include any information about the specific British submarine that sank the General Belgrano, making the answer unsupported.","The context does not provide specific information about the British submarine that sank the General Belgrano, so it is unclear whether the answer is correct."
sfq_12863,correct,unstable_only,0.1461447460085638,0.03333333333333333,CORRECT,CORRECT,DATE,29,1,0,"Name the year; Dunblane massacre, IRA bomb in Manchester city centre, the first cloned mammal, Dolly the sheep, was born?",1996,1996,"File:1990s decade montage.png|From left, clockwise: The Hubble Space Telescope floats in space after it was taken up in 1990; American F-16s and F-15s fly over burning oil fields in Operation Desert Storm, also known as the 1991 Gulf War; The signing of the Oslo Accords on 13 September 1993; The Wor","The context confirms that Dolly the sheep, the first cloned mammal, was born in 1996, supporting the correctness of the answer.","The context does not specify the exact year Dolly the sheep was born, but it indicates that she was the first mammal cloned from an adult somatic cell, which occurred in 1996. However, the context does not mention the Dunblane massacre or the IRA bomb in Manchester city centre, making the answer incomplete and misleading.",
sfq_2805,correct,unstable_only,0.1461447460085638,0.03333333333333333,CORRECT,CORRECT,PERSON,29,1,0,"When introduced into Britain in 1752, what caused a riot over eleven lost days?",GREGORIAN CALENDAR,GREGORIAN CALENDAR,"George Washington (Contemporary records, which used the Julian calendar and the Annunciation Style of enumerating years, recorded his birth as February 11, 1731. The provisions of the British Calendar (New Style) Act 1750, implemented in 1752, altered the official British dating method to the Gregor","The context explains that the implementation of the Gregorian calendar in Britain in 1752 caused dates to be moved forward by 11 days, which led to public unrest and riots.","The context mentions that the changes in the calendar resulted in dates being moved forward 11 days, but it does not specifically state that this caused a riot. Therefore, the answer is not supported by the context.",
